product_name,price_low,price_high,Bat Cap (kW),Claimed Range (km/charge),Kerb Weight (kg),Load Carrying Capacity (kg),Motor Power (W),Top Speed (kmph),Battery Type,Body Type,Drive Type,Fast Charging,Motor Type,Swappable Battery
Velev Motors VEV 01,32500,32500,1.152,80,34,100,250,25,VRLA,Electric Bikes,Hub,No,BLDC,No
Ujaas eGo LA,34880,39880,1.56,75,40,99,250,25,VRLA,Electric Bikes,Hub,No,BLDC,No
Lohia Oma Star,41444,41444,0.96,60,66,130,250,25,VRLA,Electric Bikes,Hub,No,BLDC,No
Avon E Scoot,45000,45000,0.96,65,120,120,215,24,VRLA,Electric Bikes,Hub,No,BLDC,No
Avon E Mate,45000,45000,0.96,65,120,120,188,18,VRLA,Electric Bikes,Hub,No,BLDC,No
Kabira Mobility Kollegio,45990,45990,1.152,100,58,120,250,24,Lithium,Electric Bikes,Hub,No,BLDC,No
Tunwal Sport 63 Mini,49990,49990,1.248,70,99,200,250,25,Lithium,Electric Bikes,Hub,No,BLDC,No
Raftaar Galaxy,51900,51900,1.92,100,95,180,250,45,LFP,Electric Bikes,Hub,No,BLDC,Yes
Velev Motors VIO,52000,52000,0.96,70,34,100,250,25,Lithium,Electric Bikes,Hub,No,BLDC,No
Ujaas eGo Li,50880,53880,1.56,75,40,99,250,45,Lithium,Electric Bikes,Hub,No,BLDC,No
Tunwal Mini Lithino,54990,54990,1.248,70,54,100,250,49,Lithium,Electric Bikes,Hub,No,BLDC,No
Kabira Mobility Kollegio Neo,55790,55790,1.152,100,85,150,250,24,Lithium,Electric Bikes,Hub,No,BLDC,No
SUPER ECO Super Eco T1,56772,56772,1.26,80,125,150,800,55,Lithium,Electric Bikes,Hub,No,BLDC,No
Zelio Eeva,54575,57475,2.4,120,118,150,250,45,Lithium,Electric Bikes,Hub,No,BLDC,No
Evolet Pony,57999,57999,1.4,80,76,150,250,25,VRLA,Electric Bikes,Hub,No,BLDC,No
Crayon Zeez,48000,58000,1.62,70,98,150,250,25,VRLA,Electric Bikes,Hub,No,BLDC,No
Zelio Gracy i,56825,59755,2.4,60,118,150,250,45,Lithium,Electric Bikes,Hub,No,BLDC,No
Zelio Gracy,56675,59755,2.4,60,118,150,250,45,Lithium,Electric Bikes,Hub,No,BLDC,No
Avon E Star,60000,60000,1.584,65,120,120,1000,50,VRLA,Electric Bikes,Hub,No,BLDC,No
Shema Fly,61000,61000,1.2,75,90,150,250,25,Lithium,Electric Bikes,Hub,No,BLDC,No
Okinawa R30,61998,61998,1.25,60,120,150,250,25,Lithium,Electric Bikes,Hub,No,BLDC,No
EeVe Ahava,62499,62499,1.62,70,94,140,250,25,VRLA,Electric Bikes,Hub,No,BLDC,Yes
Benling Kriti,64151,64151,1.344,60,66,248,250,25,Lithium,Electric Bikes,Hub,No,BLDC,Yes
Li-ions Elektrik Solutions Li-ions Spock Electric Scooter,65000,65000,2.88,130,90,160,2000,45,Lithium,Electric Bikes,Hub,No,BLDC,No
Kabira Mobility Kollegio Plus,65490,65490,2.1,110,63,99,250,24,Lithium,Electric Bikes,Hub,Yes,BLDC,No
Kabira Mobility Aetos 100,65490,65490,2.1,110,65,100,250,24,Lithium,Electric Bikes,Hub,Yes,BLDC,No
Shema Zoom,67000,67000,1.2,75,90,150,250,25,Lithium,Electric Bikes,Hub,No,BLDC,No
EeVe Atreo,68999,68999,1.944,85,101,140,250,25,VRLA,Electric Bikes,Hub,No,BLDC,No
Benling Falcon,69540,69540,1.8,75,70,248,250,25,Lithium,Electric Bikes,Hub,No,BLDC,Yes
Evolet Polo,69999,69999,1.5,100,76,150,250,25,VRLA,Electric Bikes,Hub,No,BLDC,No
RBSeVA Rider New,70750,70750,1.44,80,118,200,250,45,Lithium,Electric Bikes,Hub,No,BLDC,No
Odysse Electric E2Go,59750,71100,1.68,60,90,150,250,25,Lithium,Electric Bikes,Hub,No,BLDC,No
Kabira Mobility Intercity Aeolus,71490,71490,2.1,110,92,120,250,24,Lithium,Electric Bikes,Hub,Yes,BLDC,No
Viertric Mist,72000,72000,1.248,70,99,200,250,57,Lithium,Electric Bikes,Hub,No,BLDC,No
Hero Electric Eddy,72000,72000,1.536,85,60,120,250,25,Lithium,Electric Bikes,Hub,No,BLDC,No
Wroley Platina,73700,73700,1.8,90,99,200,250,25,Lithium,Electric Bikes,Hub,No,BLDC,No
BattRE Electric gps:ie,73900,73900,1.152,65,60,120,2000,25,Lithium,Electric Bikes,Hub,No,BLDC,No
AMO Electric Jaunty Plus,74460,74460,2.4,120,82,200,1265,50,Lithium,Electric Bikes,Hub,Yes,BLDC,No
GRP EV 11 Mini,74500,74500,1.5,70,75,150,250,90,Lithium,Electric Bikes,Hub,No,BLDC,No
Okaya Freedum,74900,74900,1.4,75,75,150,250,25,Lithium,Electric Bikes,Hub,Yes,BLDC,Yes
Lectrix EV Lectrix LXS,74999,74999,1.92,89,70,155,1900,50,Lithium,Electric Bikes,Hub,Yes,BLDC,No
Ampere Zeal EX,75000,75000,2.2,120,80,150,1800,50,Lithium,Electric Bikes,Hub,No,BLDC,No
Omega Seiki Mobility Omega Sharq,75600,75600,1.74,95,75,150,250,25,Lithium,Electric Bikes,Hub,No,BLDC,No
Trinity Motors Rafiki,69999,76999,1.44,75,58.9,200,250,25,Lithium,Electric Bikes,Hub,No,BLDC,No
Trinity Motors Yaarii,69999,76999,1.44,75,58,200,250,25,LFP,Electric Bikes,Hub,No,BLDC,No
Evolet Dhanno,76999,76999,1.8,100,80,150,250,25,VRLA,Electric Bikes,Hub,No,BLDC,No
Jitendra JET 320,73480,77060,1.56,70,67,150,250,25,Lithium,Electric Bikes,Hub,No,BLDC,Yes
RBSeVA Legend,77230,77230,1.8,100,99,200,250,65,Lithium,Electric Bikes,Hub,No,BLDC,No
DAO Zor 405,77349,77349,1.2,70,80,250,2100,45,Lithium,Electric Bikes,Hub,No,BLDC,No
Hero Electric Atria,77690,77690,1.536,85,69,150,250,25,Lithium,Electric Bikes,Hub,No,BLDC,No
GT Flying,54338,77763,1.56,65,82,130,250,25,Lithium,Electric Bikes,Hub,No,BLDC,No
GT Prime,57417,77763,1.56,65,85,180,250,45,Lithium,Electric Bikes,Hub,No,BLDC,No
Rowwet Zepop,61770,78500,2.16,90,70,180,2000,65,Lithium,Electric Bikes,Hub,No,BLDC,No
Joy e-bike Wolf,79900,79900,1.38,60,67,140,250,25,Lithium,Electric Bikes,Hub,Yes,BLDC,No
Gemopai Ryder SuperMax,79999,79999,1.8,100,80,150,2700,60,Lithium,Electric Bikes,Hub,No,BLDC,Yes
Thunderbolt Electra,79999,79999,1.9,120,187,150,5000,55,Lithium,Electric Bikes,Hub,No,BLDC,No
Trinity Motors Mitra,73999,79999,1.44,65,58,180,250,25,LFP,Electric Bikes,Hub,No,BLDC,No
Ampere Magnus EX,81900,81900,2.295,121,82,150,2100,50,Lithium,Electric Bikes,Hub,No,BLDC,No
iVOOMi Eco,71999,81999,2.1,90,70,150,250,25,Lithium,Electric Bikes,Hub,No,BLDC,Yes
GRP EV 11 Maxx,82000,82000,1.92,100,80,180,250,90,Lithium,Electric Bikes,Hub,No,BLDC,No
Kinetic Green Zoom,75100,82500,1.68,100,85,150,250,40,Lithium,Electric Bikes,Hub,No,BLDC,No
Okaya Faast F2F,83999,83999,2.16,80,110,150,800,55,LFP,Electric Bikes,Hub,Yes,BLDC,No
GRP EV 11 Pro,84000,84000,1.92,100,75,140,250,105,Lithium,Electric Bikes,Hub,No,BLDC,No
Gemopai Ryder,60000,84302,1.92,120,85,150,250,25,Lithium,Electric Bikes,Hub,No,BLDC,Yes
Jitendra JMT 1000 3K,84417,84417,3.12,126,90,150,1000,51.93,Lithium,Electric Bikes,Hub,No,BLDC,Yes
Kinetic Green Zing,71500,84990,1.68,100,85,150,250,45,Lithium,Electric Bikes,Hub,No,BLDC,No
Deltic Drixx,58490,84990,1.5808,100,57,120,250,25,Lithium,Electric Bikes,Belt Drive,No,BLDC,No
Okaya Faast F2T,84999,84999,2.16,85,70,120,1200,70,LFP,Electric Bikes,Hub,Yes,BLDC,No
Ola S1 Air,84999,84999,2.5,101,99,200,4500,90,Lithium,Electric Bikes,Belt Drive,Yes,Mid Drive IPM,No
iVOOMi S1,84999,84999,2.1,115,78,180,2000,55,Lithium,Electric Bikes,Hub,No,BLDC,Yes
Odysse Electric Racer,85000,85000,2.016,70,85,150,1200,45,Lithium,Electric Bikes,Hub,No,BLDC,No
Hero Electric Optima,67190,85190,1.536,140,74,150,1200,45,VRLA,Electric Bikes,Hub,No,BLDC,No
GT One,62850,85945,1.56,65,88,140,250,25,Lithium,Electric Bikes,Hub,No,BLDC,No
Hero Electric Photon,86390,86390,1.44,60,116,180,1400,45,Lithium,Electric Bikes,Hub,No,BLDC,No
