,product_name,price,price_low,price_high,0-100 Kmph (sec),0-40 Kmph (sec),ABS,ARAI Mileage,Acceleration (0-100 Kmph),Additional Features,Additional Features Of Variant,Additional Storage,Adjustable Windscreen,Anti Theft Alarm,Artificial Exhaust Sound System,Battery Capacity,Battery Type,Battery Warranty,Bluetooth Connectivity,Body Graphics,Body Type,Boot Space,Brakes Front,Brakes Rear,Braking (60-0 Kmph),Braking Type,Call/SMS Alerts,Carry Hook,Carry hook,Central Locking,Charger Output,Charging At Charging Station,Charging At Home,Charging Network / Battery Swapping Network,Charging Point,Charging Station Locater,Charging Time(0-100%),Charging Time(0-80%),Claimed Range,Clock,Continious Power,Continuous Power,Cooling System,Cruise Control,DRLs,Display,Distance to Empty Indicator,Drive Type,Dry Weight,EBS,Electricity Consumed On Full Charge,Engine Kill Switch,External Speakers,Fast Charging,Fast Charging Time,Frame,Front Brake Diameter,Front Tyre Pressure (Rider),Fuel Gauge,Gear Box,Geo Fencing,Gradeability,Ground Clearance,Headlight,Height,Ignition,Instrument Console,Internet Connectivity,Kerb Weight,Keyless Ignition,LED Tail Lights,Length,Load Carrying Capacity,Low Battery Indicator,Max Torque,Mobile Application,Motor IP Rating,Motor Power (w),Motor Type,Motor Warranty,Music Control,Navigation,No. Of Batteries,OTA,Odometer,Operating System,Paddle,Pass Switch,Passenger Backrest,Passenger Footrest,Peak Power,Power Modes,Processor,Projector Headlights,Radial Tyre,Range (Eco Mode),Range (Normal Mode),Range (Sport Mode),Real Time Mileage Indicator,Rear Brake Diameter,Rear Tyre Pressure (Rider),Regenerative Braking,Removable Battery Weight,Reverse Assist,Riding Modes,Roadside Assistance,Saddle Height,Scooter Speed,Seat Type,Service Due Indicator,Speedometer,Starting,Stepup Seat,Suspension Front,Suspension Rear,Swappable Battery,Tachometer,Tail Light,Techometer,Top Speed,Torque (Motor),Torque (Wheel),Total Weight,Transmission,Tripmeter,Tubeless Tyre,Turn Signal Lamp,Tyre Size,USB Charging Port,Underseat storage,Water Proof Rating,Wheel Size,Wheelbase,Wheels Type,Width
0,Oben Rorr,Rs.1.03 Lakh*,103000.0,103000.0,,3s,,,,"GPS, MHX (Maximum Heat Exchanging), Driver Alert System, IoT-led Gamification","GPS, MHX (Maximum Heat Exchanging), Driver Alert System, IoT-led Gamification",,,Yes,,4.4 kwh,,3 Years,"Bluetooth,WiFi",,Electric Bikes,,Disc,Disc,,Combine Braking System,,,,,,,,,Yes,,,,200 km/charge,Digital,,,,,,Yes,,Belt Drive,,,,,,Yes,,,,,,,,,230 mm,LED,,,,,,,,,,Yes,,Yes,,1000,IPMSM Motor,3 Years,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,,,Split,,Digital,Push Button Start,,,,,,LED,,100 kmph,,,,Automatic,Digital,Tubeless,LED,,,,IP67,,,Alloy,
1,Tork Kratos,Rs.1.22 - 1.37 Lakh*,122000.0,137000.0,,3.5s,,,,"Active Throttle Control, Front storage box, Hazard Lights, Safe home feature, Remote Charge Status, Crash alert, Ride Analytics, Guide me Home Lights, Vacation Mode, Riding Modes - Eco | City | Sports | Reverse, Motor Walk Assist, Track Mode, Track mode analytics, Smart Analytics, Reverse Speed - 5 kmph","Active Throttle Control, Front storage box, Hazard Lights, Safe home feature, Remote Charge Status, Crash alert, Ride Analytics, Guide me Home Lights, Vacation Mode, Riding Modes - Eco | City | Sports | Reverse, Motor Walk Assist, Track Mode, Track mode analytics, Smart Analytics, Reverse Speed - 5 kmph",,,Yes,,4 kWh,,,WiFi,,Electric Bikes,,Disc,Disc,,,,,,,750 W,,,Yes,Yes,,,,180 km/charge,Digital,4500 W,4500 W,,,Yes,Yes,,Mid Drive Electric Motor,,Yes,,,,Yes,,,,,,,Yes,16°,165 mm,LED,,,Digital,Yes,140 kg,,,1960 mm,150 kg,Yes,,Yes,IP67,9000,PMAC,,,Yes,,Yes,,TIROS,,,,,7500 W,,,,,120 km/charge,100 km/charge,70 km/charge,,,,,,Yes,Yes,,785 mm,,Split,,Digital,Push Button Start,,Hydraulic Telescopic,Mono shock Hydraulic,,,LED,,105 kmph,38 Nm,,,Automatic,Digital,Tubeless,LED,"Front :-90/80-17,	Rear :-120/80-17",Yes,,,"Front :-431.8 mm,  Rear :-431.8 mm",1336 mm,Alloy,
2,Ampere Magnus EX,"Rs.81,900*",81900.0,81900.0,,10s,,,,Front Glove Box,Front Glove Box,Yes,,Yes,,60 V / 38.25 Ah,Lithium Ion,,,,Electric Bikes,Yes,Drum,Drum,,Combi Brake System,,,,,450 W,,,,,,,,121 km/charge,,,,,,,Yes,,Hub Motor,,,,,,,,,130 mm,,,,,13°,147 mm,LED,1120 mm,,,,82 kg,,,1920 mm,150 kg,,,,,2100,BLDC,,,,,,,,,,,Yes,,,,,,83 km/charge,,,,130 mm,,,,,,,,,Split,,Digital,"Remote Start,Push Button Start",,Telescopic,Coil Spring,,,LED,,50 kmph,,,,Automatic,Digital,,LED,,,Yes,,"Front :-254 mm,Rear :-254 mm",1390 mm,Alloy,685 mm
3,Bounce Infinity E1,"Rs.47,499 - 96,799*",47499.0,96799.0,,,,,,"EBS, Drag Mode, Drive Modes - Power | Eco, Location Tracking, Tow Alert","EBS, Drag Mode, Drive Modes - Power | Eco, Location Tracking, Tow Alert",12 L,,Yes,,1.9 KWh,Lithium Ion,,Bluetooth,,Electric Bikes,,Disc,Disc,,Combi Brake System,,,,,,,,,Yes,,,,85 km/charge,Digital,,,,Yes,,Yes,,Hub Motor,,Yes,,,,,,,230 mm,,,,Yes,,155 mm,LED,1120 mm,,Digital,,94 kg,,,1820 mm,,Yes,,Yes,,1500,BLDC,,,,1,,,,,,,Yes,,Yes,,,,,,,,203 mm,,,,Yes,Yes,,780 mm,,Single,,Digital,Push Button Start,,Telescopic Hydraulic,Twin Shock Absorber,Yes,,LED,,65 kmph,85 Nm,,,Automatic,Digital,Tubeless,LED,Front :-90/90-12	Rear :-120/70-12,,12 L,IP67 (Battery),"Front :-304.8 mm,Rear :-304.8 mm",1260 mm,Alloy,695 mm
4,Hero Electric Optima,"Rs.67,190 - 85,190*",67190.0,85190.0,,,,,,Walk Assist,Walk Assist,,,,,51.2 V / 30 Ah,,,,Yes,Electric Bikes,,,,,,,,,,,,,,,,,,140 km/charge,,,,,Yes,,Yes,,Hub Motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Single,,Digital,"Remote Start,Push Button Start",,,,,,,,45 kmph,,,,,,,,"Front :- 90/90-12, 	Rear :- 90/90-12",,,,"Front :-304.8 mm,Rear :-304.8 mm",,Alloy,
5,River Indie,Rs.1.25 Lakh*,125000.0,125000.0,,3.9s,,,,"Riding Modes - Eco | Ride | Rush, Position Lamp, Hazard Light, Boot Light, Swingarm - Dual sided - Aluminium alloy, Side stand motor cut-off, SafeGuards, Ingress Protection (Controller) - IP67, Glovebox - 12L, Accessory mounts - Yes (Grab Rail, Handlebar), Pannier Stay Both sides, Bag Hook, Foot-pegs - Aluminium alloy - Front & Rear, Reverse Parking Assist, Center Stand, Floorboard Size (Diagonally) - 20"", Water wade - 300 mm, Pannier Mounts - 2","Riding Modes - Eco | Ride | Rush, Position Lamp, Hazard Light, Boot Light, Swingarm - Dual sided - Aluminium alloy, Side stand motor cut-off, SafeGuards, Ingress Protection (Controller) - IP67, Glovebox - 12L, Accessory mounts - Yes (Grab Rail, Handlebar), Pannier Stay Both sides, Bag Hook, Foot-pegs - Aluminium alloy - Front & Rear, Reverse Parking Assist, Center Stand, Floorboard Size (Diagonally) - 20"", Water wade - 300 mm, Pannier Mounts - 2",43 L,,,,4 kWh,Lithium-Ion,,,,Electric Bikes,Yes,Disc,Disc,,Combine Braking System,,,,,,,,,,,,5 Hours,120 km/charge,,,,,,,6 inch (Enhanced Black Nematic),,Belt Drive,,,,,,Yes,,Steel Tubular dual cradle,240 mm,,,,,18°,165 mm,LED,,,Digital,,,,,,,,,,IP67,6700,Mid-Drive PMSM,,,,,,,,,,,,,,,,,,,,,200 mm,,,,,,,770 mm,,Split,,Digital,Push Button Start,,Telescopic Suspension with Hydraulic Dampers,Coil spring with Twin Hydraulic Dampers,,,LED,,90 Kmph,26 Nm,,,,,,LED,,Yes,43 L,IP65,,1365 mm,Alloy Wheels,
6,Matter Aera,Rs.1.44 - 1.54 Lakh*,144000.0,154000.0,,,Dual Channel,,,"RAM - 3 GB, Auto Reply, Integrated Intelligent Thermal Management System, Vehicle Controls, Advanced Ride STATS, Auto Indicator Off, Live Location Tracker, Battery Management System, Drive Train Unit, MatterDrive 1.0, Vehicle Instrument Cluster, 4G Connectivity, Android software, Gear Position, vehicle Health Monitoring, Charging Status, IMU - 9 Axis, Service Management, E Comm, Community  Matter Tribe, MyExp, Matter Family - management, Predicted Range, Real-time battery consumption, Vehicle sharing (Matter Family), Accident detection and emergency notification, Software and Firmware Updates via OTA, Park Assist, Welcome lights, Battery Saving, Battery Usage-Advanced, Passive Keyless Entry, Lifestyle Package","RAM - 3 GB, Auto Reply, Integrated Intelligent Thermal Management System, Vehicle Controls, Advanced Ride STATS, Auto Indicator Off, Live Location Tracker, Battery Management System, Drive Train Unit, MatterDrive 1.0, Vehicle Instrument Cluster, 4G Connectivity, Android software, Gear Position, vehicle Health Monitoring, Charging Status, IMU - 9 Axis, Service Management, E Comm, Community  Matter Tribe, MyExp, Matter Family - management, Predicted Range, Real-time battery consumption, Vehicle sharing (Matter Family), Accident detection and emergency notification, Software and Firmware Updates via OTA, Park Assist, Welcome lights, Battery Saving, Battery Usage-Advanced, Passive Keyless Entry, Lifestyle Package",,,,Yes,5 kWh,,,"Bluetooth,WiFi",,"Electric Bikes, Sports Bikes",,Disc,Disc,,,Yes,,,,,,,,Yes,,,,125 km/charge,Yes,,,Liquid Cooled,,,7-inch LCD with Capacitive Touchscreen,,Hub Motor,,,,,Yes,Yes,2 Hours,Dual cradle frame,,,,4 Speed,,,,LED,,,Digital,Yes,,,Yes,,,Yes,,Yes,,10000,,,Yes,Yes,,,Digital,,,Yes,,Yes,,,Yes,,,,,,,,,,,,Yes,Yes,,,Single,Yes,Digital,"Remote Start,Push Button Start",,,,Yes,,LED,,,,520 Nm,,Manual,Digital,,LED,,Yes,,IP67,,,Alloy,
7,Ultraviolette F77,Rs.3.80 - 5.50 Lakh*,380000.0,550000.0,7.8s,,Dual Channel,,7.8s,"Ride Modes - Glide | Combat | Ballistic, Park Assist, SRB10 Battery Pack, Battery Management System, IEC 62196-6 Charging Port, Throttle Control, Up To 75 km Of Range Per Hour Of Charge, Ambient Light Sensor, Headlight Auto On/Off, GNSS enabled real-time position and velocity discovery, Maps with real-time traffic information, Vehicle Locator, Ride History & Ride Analytics, Temperature, Voltage and Current Sensors with Active Tracking and Efficiency Mapping across the Vehicle,  Sensor Fusion technology using 9- axis Inertial Measurement Unit (IMU) along with built-in accelerometer, gyroscope & magnetometer Shock and Impact sensors for Fall and Crash Detection  Error reporting through Ultraviolette Smartphone App , LTE connectivity with integrated eSIM, WLAN, GPS/GLONASS, Hazard Lights, Lockdown Mode, Fall & Crash Sensor, Emergency Contact Alert , Aero Wheel Disc, Lever Guard","Ride Modes - Glide | Combat | Ballistic, Park Assist, SRB10 Battery Pack, Battery Management System, IEC 62196-6 Charging Port, Throttle Control, Up To 75 km Of Range Per Hour Of Charge, Ambient Light Sensor, Headlight Auto On/Off, GNSS enabled real-time position and velocity discovery, Maps with real-time traffic information, Vehicle Locator, Ride History & Ride Analytics, Temperature, Voltage and Current Sensors with Active Tracking and Efficiency Mapping across the Vehicle,  Sensor Fusion technology using 9- axis Inertial Measurement Unit (IMU) along with built-in accelerometer, gyroscope & magnetometer Shock and Impact sensors for Fall and Crash Detection  Error reporting through Ultraviolette Smartphone App , LTE connectivity with integrated eSIM, WLAN, GPS/GLONASS, Hazard Lights, Lockdown Mode, Fall & Crash Sensor, Emergency Contact Alert , Aero Wheel Disc, Lever Guard",,,,Yes,10.3 kWh,Lithium-ion,8 Years or 100000 km,"Bluetooth,WiFi",,"Electric Bikes, Sports Bikes",,Disc,Disc,,,Yes,,,,,,,,Yes,,5 Hours,,307 km/charge,Yes,,,,,,"Multi-function 5"" TFT display",,Chain Drive,,Yes,,,Yes,Yes,,Steel Trellis with Aluminium Bulk Head,320 mm,,,Single reduction helical gear box,Yes,,160 mm,LED,,,Digital,Yes,207 kg,,Yes,,,Yes,,Yes,,32000,Permanent Magnet AC Motor,,Yes,Yes,3,Yes,Digital,Linux OS,,,,Yes,,,,,,261 km/charge,200 km/charge,171 km/charge,,230 mm,,Yes,,Yes,Yes,,800 mm,,Split,,Digital,"Remote Start,Push Button Start",,Upside-down Telescopic fork with a diameter of 41 mm,Monoshock - preload adjustable,Yes,,LED,,152 kmph,100 Nm,,,Automatic,Digital,Tubeless,LED,Front :-110/70-17	Rear :-150/60-17,Yes,,IP67 ( Battery ),"Front :-431.8 mm,Rear :-431.8 mm",1340 mm,Alloy,
8,Simple One,Rs.1.10 - 1.45 Lakh*,110000.00000000001,145000.0,,2.95s,,,,"Dark Mode On Display, Remote access, Ride statistics, Save and forward routes","Dark Mode On Display, Remote access, Ride statistics, Save and forward routes",30 L,,,,4.8 kWh + 1.6 kWh,Lithium Ion,,"Bluetooth,WiFi",,Electric Bikes,,Disc,Disc,,Combi Brake System,Yes,,,,,Yes,Yes,,Yes,,,,300+ km/charge,Yes,4.5 kw,4.5 kw,,,,7 Inch,,Chain Drive,,,,,,Yes,,Tubular,,,,,Yes,20º,,LED,,,,Yes,110 kg,,Yes,,,Yes,,Yes,,8500,,,Yes,Yes,2,Yes,,Android OS,,,,Yes,,,,,,,,,,,,,,,Yes,,,,Single,,Digital,"Remote Start,Push Button Start",,Telescopic Fork,Mono Tube - Mono Shock,Yes,,LED,,105 kmph,72 Nm,,,Automatic,Digital,Tubeless,LED,"Front :- 110/80-12, 	Rear :- 110/80-12",,30 L,,"Front :-304.8 mm,Rear :-304.8 mm",,Alloy,
9,Bajaj Chetak,Rs.1.22 - 1.52 Lakh*,122000.0,152000.0,,,No,Range - 108 km/charge,,"Glove Box 4 L, Touch Sensitive Switches, Charging Time (0 - 25%) - 0.75 Hours, Auxiliary Battery - 12 V / 3 Ah, Continous Torque - 10 Nm","Glove Box 4 L, Touch Sensitive Switches, Charging Time (0 - 25%) - 0.75 Hours, Auxiliary Battery - 12 V / 3 Ah, Continous Torque - 10 Nm",18 L,,,,50.4 V / 60.4 Ah,Lithium Ion,"3 Years, 50000 km",Bluetooth,,Electric Bikes,,Disc,Drum,2.8 mm,Combine Braking System,,Yes,Yes,,,No,No,,Yes,,4 Hours,2.75 Hours,90 km/charge,Yes,4000 W,4000 W,,,Yes,Yes,,Hub Motor,,Yes,,,,,,Tublar Steel Under Bone,,,,,Yes,25 %,160 mm,LED,,,Digital,Yes,133 kg,,Yes,1890 mm,,Yes,16.2 Nm @ 1400 rpm,Yes,67,4200 W,BLDC,,,,,,Digital,,,Yes,,Yes,,,,,,90 km/charge,,80 km/charge,,,,,,Yes,Yes,,760 mm,,Single,,Digital,"Remote Start,Push Button Start",,Single Sided Leading Link,Offset Mono Shock,,,LED,,63 kmph,20 Nm,,,Automatic,Digital,Tubeless,LED,Front :-90/90-12	Rear :-90/100-12,Yes,18 L,67,"Front :-304.8 mm,Rear :-304.8 mm",1330 mm,Alloy,725 mm
