web-scraper-order,web-scraper-start-url,price,product_name,image_1-src,image_2-src
"1678105878-16347","https://www.bikedekho.com/oben/oben-electric-bike/specifications","Rs.1.03 Lakh*","Oben Rorr","https://bd.gaadicdn.com/processedimages/oben/oben-electric-bike/204X134/oben-electric-bike62306eca07dd7.jpg?tr=h-140","https://bd.gaadicdn.com/processedimages/oben/oben-electric-bike/494X300/oben-electric-bike62de4afb8aeef.jpg?tr=w-274"
"1678105880-16348","https://www.bikedekho.com/tork/t6x/specifications","Rs.1.22 - 1.37 Lakh*","Tork Kratos","https://bd.gaadicdn.com/processedimages/tork/t6x/204X134/t6x6241a1bfa94ea.jpg?tr=h-140","https://bd.gaadicdn.com/processedimages/tork/t6x/640X309/t6x61f22e9acad1e.jpg?tr=w-274"
"1678105883-16349","https://www.bikedekho.com/ampere/magnus/specifications","Rs.81,900*","Ampere Magnus EX","https://bd.gaadicdn.com/processedimages/ampere/magnus/204X134/magnus616d0b0b9c787.jpg?tr=h-140","https://bd.gaadicdn.com/processedimages/ampere/magnus/640X309/magnus63fdfb54db1c0.jpg?tr=w-274"
"1678105885-16350","https://www.bikedekho.com/bounce/e-scooter/specifications","Rs.47,499 - 96,799*","Bounce Infinity E1","https://bd.gaadicdn.com/processedimages/bounce/e-scooter/204X134/e-scooter63f33752c9304.jpg?tr=h-140","https://bd.gaadicdn.com/processedimages/bounce/e-scooter/494X300/e-scooter61a8a3961e5c9.jpg?tr=w-274"
"1678105887-16351","https://www.bikedekho.com/hero-electric/optima/specifications","Rs.67,190 - 85,190*","Hero Electric Optima","https://bd.gaadicdn.com/processedimages/heroelectric/heroelectric-optima/204X134/heroelectric-optima624c2484b606a.jpg?tr=h-140","https://bd.gaadicdn.com/processedimages/heroelectric/heroelectric-optima/640X309/heroelectric-optima624c232a5566d.jpg?tr=w-274"
"1678105889-16352","https://www.bikedekho.com/river/river-electric-scooter/specifications","Rs.1.25 Lakh*","River Indie","https://bd.gaadicdn.com/processedimages/river/river-electric-scooter/204X134/river-electric-scooter63f5e73e5793d.jpg?tr=h-140","https://bd.gaadicdn.com/processedimages/river/river-electric-scooter/494X300/river-electric-scooter63f5fe670e020.jpg?tr=w-274"
"1678105892-16353","https://www.bikedekho.com/matter-ev/matter-electric-bike/specifications","Rs.1.44 - 1.54 Lakh*","Matter Aera","https://bd.gaadicdn.com/processedimages/matter-ev/matter-electric-bike/204X134/matter-electric-bike640037bddc811.jpg?tr=h-140","https://bd.gaadicdn.com/processedimages/matter-ev/matter-electric-bike/494X300/matter-electric-bike640039bf48d20.jpg?tr=w-274"
"1678105894-16354","https://www.bikedekho.com/ultraviolette/f77/specifications","Rs.3.80 - 5.50 Lakh*","Ultraviolette F77","https://bd.gaadicdn.com/processedimages/ultraviolette/f77/204X134/f7763d8b72147276.jpg?tr=h-140","https://bd.gaadicdn.com/processedimages/ultraviolette/f77/640X309/f77-std_white_cloud_1573638325.jpg?tr=w-274"
"1678105896-16355","https://www.bikedekho.com/simple-energy/simple-one/specifications","Rs.1.10 - 1.45 Lakh*","Simple One","https://bd.gaadicdn.com/processedimages/simple-energy/mark-2/204X134/mark-262de8556de363.png?tr=h-140","https://bd.gaadicdn.com/pwa/img/spacer3x2.png"
"1678105898-16356","https://www.bikedekho.com/bajaj/chetak/specifications","Rs.1.22 - 1.52 Lakh*","Bajaj Chetak","https://bd.gaadicdn.com/processedimages//204X134/640078bb5efa0.jpg?tr=h-140","https://bd.gaadicdn.com/pwa/img/spacer3x2.png"
"1678105901-16357","https://www.bikedekho.com/revolt/rv-400/specifications","Rs.1.25 Lakh*","Revolt RV400","https://bd.gaadicdn.com/processedimages/revolt-motors/rv-400/204X134/rv-400611a424cad9e9.jpg?tr=h-140","https://bd.gaadicdn.com/pwa/img/spacer3x2.png"
"1678105903-16358","https://www.bikedekho.com/ather-energy/450x/specifications","Rs.1.19 - 1.42 Lakh*","Ather 450X","https://bd.gaadicdn.com/processedimages/ather-energy/450x/204X134/450x63bbb0aef27aa.jpg?tr=h-140","https://bd.gaadicdn.com/pwa/img/spacer3x2.png"
"1678105905-16359","https://www.bikedekho.com/tvs/iqube-electric/specifications","Rs.1.61 - 1.61 Lakh*","TVS iQube Electric","https://bd.gaadicdn.com/processedimages/tvs/iqube-electric/204X134/iqube-electric6284cef6e6189.jpg?tr=h-140","https://bd.gaadicdn.com/pwa/img/spacer3x2.png"
"1678105907-16360","https://www.bikedekho.com/ola-electric/appscooter/specifications","Rs.1.33 Lakh*","Ola S1","https://bd.gaadicdn.com/processedimages/ola-electric/appscooter/204X134/appscooter62d90972334c6.jpg?tr=h-140","https://bd.gaadicdn.com/pwa/img/spacer3x2.png"
