web-scraper-order,web-scraper-start-url,product_image_clicker,product_image_clicker-href
"1678095862-1","https://www.bikedekho.com/electric-bikes?pageno=21","Kabira Mobility Kollegio Neo","https://www.bikedekho.com/kabira-mobility/kollegio-neo"
"1678095862-2","https://www.bikedekho.com/electric-bikes?pageno=21","GRP EV 11 Pro","https://www.bikedekho.com/grp-ev/11-pro"
"1678095862-3","https://www.bikedekho.com/electric-bikes?pageno=21","Kabira Hermes 75","https://www.bikedekho.com/kabira-mobility/hermes-75"
"1678095862-4","https://www.bikedekho.com/electric-bikes?pageno=21","Joy e-bike Wolf Plus","https://www.bikedekho.com/joy-e/wolfplus"
"1678095862-5","https://www.bikedekho.com/electric-bikes?pageno=21","Joy e-bike Gen Next Nanu Plus","https://www.bikedekho.com/joy-e/gen-nxt-nanu-plus"
"1678095862-6","https://www.bikedekho.com/electric-bikes?pageno=21","Zelio Gracy","https://www.bikedekho.com/zelio/gracy"
"1678095862-7","https://www.bikedekho.com/electric-bikes?pageno=21","Zelio Gracy i","https://www.bikedekho.com/zelio/gracy-i"
"1678095862-8","https://www.bikedekho.com/electric-bikes?pageno=21","Hero Electric Eddy","https://www.bikedekho.com/hero-electric/eddy"
"1678095862-9","https://www.bikedekho.com/electric-bikes?pageno=21","Fidato Evtech Loder","https://www.bikedekho.com/fidato-evtech/loder"
"1678095865-10","https://www.bikedekho.com/electric-bikes?pageno=20","Stella Automobili SA 1000","https://www.bikedekho.com/stella/sa1000"
"1678095865-11","https://www.bikedekho.com/electric-bikes?pageno=20","GRP EV 11 Maxx","https://www.bikedekho.com/grp-ev/11-maxx"
"1678095865-12","https://www.bikedekho.com/electric-bikes?pageno=20","Birla Spark","https://www.bikedekho.com/birla-e-bike/birla-spark"
"1678095865-13","https://www.bikedekho.com/electric-bikes?pageno=20","GRP EV 11 Mini","https://www.bikedekho.com/grp-ev/11-mini"
"1678095865-14","https://www.bikedekho.com/electric-bikes?pageno=20","Ampere Zeal EX","https://www.bikedekho.com/ampere/zeal-ex"
"1678095865-15","https://www.bikedekho.com/electric-bikes?pageno=20","GRP EV 11 Pro","https://www.bikedekho.com/grp-ev/11-pro"
"1678095865-16","https://www.bikedekho.com/electric-bikes?pageno=20","Okaya Freedum","https://www.bikedekho.com/okaya/freedum"
"1678095865-17","https://www.bikedekho.com/electric-bikes?pageno=20","Ola S1 Pro","https://www.bikedekho.com/ola-electric/s1-pro"
"1678095865-18","https://www.bikedekho.com/electric-bikes?pageno=20","Evolet Polo","https://www.bikedekho.com/evolet/polo"
"1678095865-19","https://www.bikedekho.com/electric-bikes?pageno=20","Greta Harper ZX Series-I","https://www.bikedekho.com/greta-electric/harper-zx-series-1"
"1678095865-20","https://www.bikedekho.com/electric-bikes?pageno=20","Gemopai Ryder SuperMax","https://www.bikedekho.com/gemopai/ryder-supermax"
"1678095865-21","https://www.bikedekho.com/electric-bikes?pageno=20","Thunderbolt Electra","https://www.bikedekho.com/thunderboltev/thunderbolt-electra"
"1678095865-22","https://www.bikedekho.com/electric-bikes?pageno=20","Deltic Legion","https://www.bikedekho.com/deltic/legion"
"1678095865-23","https://www.bikedekho.com/electric-bikes?pageno=20","Komaki XGT CAT 2.0","https://www.bikedekho.com/komaki/xgt-cat-2"
"1678095865-24","https://www.bikedekho.com/electric-bikes?pageno=20","Birla V6","https://www.bikedekho.com/birla-e-bike/v6"
"1678095867-25","https://www.bikedekho.com/electric-bikes?pageno=19","Birla Electro","https://www.bikedekho.com/birla-e-bike/electro"
"1678095867-26","https://www.bikedekho.com/electric-bikes?pageno=19","Okaya Faast F2F","https://www.bikedekho.com/okaya/faast-f2f"
"1678095867-27","https://www.bikedekho.com/electric-bikes?pageno=19","Viertric Mist","https://www.bikedekho.com/viertric/mist"
"1678095867-28","https://www.bikedekho.com/electric-bikes?pageno=19","Gemopai Ryder","https://www.bikedekho.com/gemopai/ryder"
"1678095867-29","https://www.bikedekho.com/electric-bikes?pageno=19","BattRE Electric Storie","https://www.bikedekho.com/battre-electric-mobility/storie"
"1678095867-30","https://www.bikedekho.com/electric-bikes?pageno=19","GT Drive Plus","https://www.bikedekho.com/gt-force/drive-plus"
"1678095867-31","https://www.bikedekho.com/electric-bikes?pageno=19","Ujaas eGo Li","https://www.bikedekho.com/ujaas-energy/ego-li"
"1678095867-32","https://www.bikedekho.com/electric-bikes?pageno=19","Benling Falcon","https://www.bikedekho.com/benling-india/falcon"
"1678095867-33","https://www.bikedekho.com/electric-bikes?pageno=19","BattRE Electric gps:ie","https://www.bikedekho.com/battre-electric-mobility/gpsie"
"1678095867-34","https://www.bikedekho.com/electric-bikes?pageno=19","Okaya Freedum","https://www.bikedekho.com/okaya/freedum"
"1678095867-35","https://www.bikedekho.com/electric-bikes?pageno=19","Ola S1 Pro","https://www.bikedekho.com/ola-electric/s1-pro"
"1678095867-36","https://www.bikedekho.com/electric-bikes?pageno=19","Evolet Polo","https://www.bikedekho.com/evolet/polo"
"1678095867-37","https://www.bikedekho.com/electric-bikes?pageno=19","Gemopai Ryder SuperMax","https://www.bikedekho.com/gemopai/ryder-supermax"
