web-scraper-order,web-scraper-start-url,price
"1678098290-313","https://www.bikedekho.com/oben/oben-electric-bike/specifications","Rs.1.03 Lakh*"
"1678098292-314","https://www.bikedekho.com/tork/t6x/specifications","Rs.1.22 - 1.37 Lakh*"
"1678098295-315","https://www.bikedekho.com/ampere/magnus/specifications","Rs.81,900*"
"1678098297-316","https://www.bikedekho.com/bounce/e-scooter/specifications","Rs.47,499 - 96,799*"
"1678098300-317","https://www.bikedekho.com/hero-electric/optima/specifications","Rs.67,190 - 85,190*"
"1678098302-318","https://www.bikedekho.com/river/river-electric-scooter/specifications","Rs.1.25 Lakh*"
"1678098304-319","https://www.bikedekho.com/matter-ev/matter-electric-bike/specifications","Rs.1.44 - 1.54 Lakh*"
"1678098306-320","https://www.bikedekho.com/ultraviolette/f77/specifications","Rs.3.80 - 5.50 Lakh*"
"1678098309-321","https://www.bikedekho.com/simple-energy/simple-one/specifications","Rs.1.10 - 1.45 Lakh*"
"1678098311-322","https://www.bikedekho.com/bajaj/chetak/specifications","Rs.1.22 - 1.52 Lakh*"
"1678098314-323","https://www.bikedekho.com/revolt/rv-400/specifications","Rs.1.25 Lakh*"
"1678098316-324","https://www.bikedekho.com/ather-energy/450x/specifications","Rs.1.19 - 1.42 Lakh*"
"1678098319-325","https://www.bikedekho.com/tvs/iqube-electric/specifications","Rs.1.61 - 1.61 Lakh*"
"1678098321-326","https://www.bikedekho.com/ola-electric/appscooter/specifications","Rs.1.33 Lakh*"
"1678098324-327","https://www.bikedekho.com/vida/v1/specifications","Rs.1.28 - 1.39 Lakh*"
"1678098327-328","https://www.bikedekho.com/okinawa/oki90/specifications","Rs.1.86 Lakh*"
"1678098329-329","https://www.bikedekho.com/avon/e-scoot/specifications","Rs.45,000*"
"1678098331-330","https://www.bikedekho.com/kabira-mobility/km-3000/specifications","Rs.1.23 Lakh*"
"1678098334-331","https://www.bikedekho.com/avon/e-plus/specifications","Rs.25,000*"
"1678098336-332","https://www.bikedekho.com/hero-electric/photon/specifications","Rs.86,390*"
"1678098339-333","https://www.bikedekho.com/pure-ev/ecodryft/specifications","Rs.1.15 Lakh*"
"1678098341-334","https://www.bikedekho.com/one-electric-motorcycles/kridn/specifications","Rs.1.35 Lakh*"
"1678098344-335","https://www.bikedekho.com/okinawa/r30/specifications","Rs.61,998*"
